===> Epoch 1 Complete: Avg. Loss: 0.0581
===> Processing image: 90 || Timer: 0.0802 sec. || PSNR: 23.4853 dB
===> Processing image: 91 || Timer: 0.0799 sec. || PSNR: 23.8457 dB
===> Processing image: 92 || Timer: 0.0806 sec. || PSNR: 20.4330 dB
===> Processing image: 93 || Timer: 0.0834 sec. || PSNR: 22.0796 dB
===> Processing image: 94 || Timer: 0.0788 sec. || PSNR: 22.5034 dB
===> Processing image: 95 || Timer: 0.0877 sec. || PSNR: 22.7537 dB
===> Processing image: 96 || Timer: 0.0882 sec. || PSNR: 21.6926 dB
===> Processing image: 97 || Timer: 0.0838 sec. || PSNR: 23.0190 dB
===> Processing image: 98 || Timer: 0.0797 sec. || PSNR: 20.5674 dB
===> Processing image: 99 || Timer: 0.0876 sec. || PSNR: 22.7707 dB
===> Processing image: 100 || Timer: 0.0833 sec. || PSNR: 22.7812 dB
===> Epoch 3 Complete: Avg. PSNR: 24.7670 Best Epoch 2 Best PSNR: 24.9016
===> Epoch 4 Complete: Avg. Loss: 0.0370
===> Processing image: 1 || Timer: 0.1124 sec. || PSNR: 23.7226 dB
===> Processing image: 2 || Timer: 0.1111 sec. || PSNR: 25.0961 dB
===> Processing image: 3 || Timer: 0.1106 sec. || PSNR: 30.3582 dB
===> Processing image: 4 || Timer: 0.0928 sec. || PSNR: 21.0981 dB
===> Processing image: 5 || Timer: 0.0812 sec. || PSNR: 23.2467 dB
===> Processing image: 6 || Timer: 0.0902 sec. || PSNR: 26.2742 dB
===> Processing image: 7 || Timer: 0.0888 sec. || PSNR: 24.9174 dB
===> Processing image: 8 || Timer: 0.0884 sec. || PSNR: 25.4564 dB
===> Processing image: 9 || Timer: 0.0920 sec. || PSNR: 25.1573 dB
===> Processing image: 10 || Timer: 0.0873 sec. || PSNR: 23.2997 dB
===> Processing image: 11 || Timer: 0.0855 sec. || PSNR: 22.1496 dB
===> Processing image: 12 || Timer: 0.0902 sec. || PSNR: 22.7730 dB
===> Processing image: 13 || Timer: 0.0914 sec. || PSNR: 24.0692 dB
===> Processing image: 14 || Timer: 0.0843 sec. || PSNR: 23.0780 dB
===> Processing image: 15 || Timer: 0.0828 sec. || PSNR: 19.1421 dB
===> Processing image: 16 || Timer: 0.0919 sec. || PSNR: 25.2360 dB
===> Processing image: 17 || Timer: 0.0907 sec. || PSNR: 23.3541 dB
